Task,Baseline,Per-Task PAIR,Universal PAIR
injection_task_1,10.5% (2/19),15.8% (3/19),15.8% (3/19)
injection_task_2,0.0% (0/19),21.1% (4/19),5.3% (1/19)
injection_task_3,0.0% (0/19),15.8% (3/19),5.3% (1/19)
injection_task_4,0.0% (0/19),0.0% (0/19),0.0% (0/19)
injection_task_5,5.0% (1/20),10.0% (2/20),0.0% (0/20)
Overall,3.1% (3/96),12.5% (12/96),5.2% (5/96)
