Task,Baseline,Per-Task PAIR,Universal PAIR
injection_task_1,10.5% (2/19),10.5% (2/19),15.8% (3/19)
injection_task_2,0.0% (0/19),36.8% (7/19),21.1% (4/19)
injection_task_3,5.3% (1/19),36.8% (7/19),15.8% (3/19)
injection_task_4,0.0% (0/19),0.0% (0/19),5.3% (1/19)
injection_task_5,0.0% (0/19),0.0% (0/20),5.3% (1/19)
Overall,3.2% (3/95),16.7% (16/96),12.6% (12/95)
